title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,release_year
Metro: Last Light,PS3,Shooter,Deep Silver,4a-games,,0.44,0.14,0.03,0.21,0.07,2013-05-14,2013.0
Shin Megami Tensei: Devil Survivor Overclocked,3DS,Role-Playing,Atlus,Career Soft,7.6,0.44,0.34,0.06,0.01,0.04,2011-08-23,2011.0
God Eater 2: Rage Burst,PSV,Role-Playing,Namco Bandai Games,Namco Bandai Games,,0.44,,0.38,0.05,0.01,2016-10-01,2016.0
Samurai Warriors 3,Wii,Action,Nintendo,Omega Force,5.1,0.44,0.09,0.32,0.02,0.01,2010-09-27,2010.0
Spider-Man: Shattered Dimensions,PS3,Action,Activision,Beenox Studios,,0.44,0.26,,0.13,0.05,2010-09-07,2010.0
Sonic & Sega All-Stars Racing Transformed,PSV,Racing,Sega,Sumo Digital,,0.44,0.09,,0.25,0.1,2012-12-18,2012.0
Metal Gear Solid HD Collection,PSV,Action,Konami Digital Entertainment,Kojima Productions,,0.44,0.12,0.05,0.2,0.08,2012-06-12,2012.0
Naughty Bear,PS3,Action,505 Games,Artificial Mind and Movement,4.5,0.44,0.18,,0.18,0.07,2010-06-29,2010.0
Hey! Pikmin,3DS,Platform,Nintendo,Arzest,6.8,0.44,0.17,0.17,0.08,0.03,2017-07-28,2017.0
Lego Batman 3: Beyond Gotham,XOne,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,,0.44,0.24,,0.17,0.04,2014-11-11,2014.0
Sleeping Dogs: Definitive Edition,PS4,Action,Square Enix,United Front Games,,0.44,0.16,,0.21,0.07,2014-10-14,2014.0
Skylanders SWAP Force,PS4,Misc,Activision,Unknown,,0.44,0.23,,0.14,0.08,2013-11-15,2013.0
Sid Meier's Civilization VI,PC,Strategy,2K Games,Firaxis Games,,0.44,0.12,,0.29,0.03,2016-10-21,2016.0
Tongari Boushi to Mahou no Otana,DS,Simulation,Konami,Konami,,0.44,,0.44,,,2010-11-11,2010.0
Story of Seasons,3DS,Misc,Xseed Games,Marvelous,7.7,0.44,,0.28,0.15,0.01,2015-03-31,2015.0
Wheel of Fortune,DS,Misc,THQ,"Pipeworks Software, Inc.",,0.44,0.41,,,0.03,2010-11-02,2010.0
Tetris Axis,3DS,Puzzle,Nintendo,Hudson Soft,7.8,0.44,0.2,0.06,0.14,0.03,2011-10-02,2011.0
LEGO DC Super-Villains,NS,Action-Adventure,Warner Bros. Interactive Entertainment,Traveller's Tales,7.8,0.44,0.28,,0.12,0.04,2018-10-16,2018.0
Madden NFL 12,Wii,Sports,EA Sports,EA Tiburon,7.0,0.44,0.41,,,0.03,2011-08-30,2011.0
Deadpool,X360,Action,Activision,High Moon Studios,,0.44,0.26,,0.14,0.04,2013-06-25,2013.0
Transformers: Dark of the Moon - Autobots/Decepticons,DS,Action,Activision,Behaviour Interactive Inc.,,0.44,0.32,,0.08,0.04,2011-06-14,2011.0
Ninja Gaiden 3,PS3,Action,Tecmo Koei,Team Ninja,,0.44,0.19,0.11,0.09,0.05,2012-03-20,2012.0
Pro Evolution Soccer 2016,PS3,Sports,Konami Digital Entertainment,PES Productions,,0.44,0.11,0.16,0.12,0.05,2015-09-15,2015.0
EA Sports UFC 3,XOne,Sports,EA Sports,EA Vancouver,,0.44,0.3,,0.1,0.04,2018-02-02,2018.0
2014 FIFA World Cup Brazil,X360,Sports,EA Sports,EA Canada,7.3,0.44,0.15,0.0,0.25,0.03,2014-04-15,2014.0
Star Fox: Zero,WiiU,Shooter,Nintendo,Nintendo EPD,6.7,0.44,0.2,0.09,0.12,0.03,2016-04-22,2016.0
Child of Eden,X360,Shooter,Ubisoft,Q Entertainment,8.3,0.44,0.28,,0.12,0.04,2011-06-14,2011.0
NBA 2K18,NS,Sports,2K Sports,Visual Concepts,7.5,0.43,0.3,0.03,0.06,0.04,2017-09-19,2017.0
NBA 2K13,Wii,Sports,2K Sports,Visual Concepts,,0.43,0.36,,0.03,0.04,2012-10-02,2012.0
Deer Drive,DS,Sports,Mastiff,SCS Software,,0.43,0.4,,,0.03,2010-09-14,2010.0
"Barbie: Jet, Set & Style!",DS,Misc,THQ,THQ,,0.43,0.34,,0.05,0.04,2011-09-20,2011.0
Skylanders: SuperChargers,PS3,Action-Adventure,Activision,Vicarious Visions,,0.43,0.2,,0.16,0.07,2015-09-20,2015.0
LEGO Marvel's Avengers,PS3,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,,0.43,0.13,,0.23,0.07,2016-01-26,2016.0
DanceStar Party,PS3,Misc,Sony Computer Entertainment,SCEE London Studio,,0.43,,,0.34,0.09,2011-10-21,2011.0
NHL 19,PS4,Sports,EA Sports,EA Canada,,0.43,0.26,,0.09,0.08,2018-09-14,2018.0
Rocksmith 2014,XOne,Music,Ubisoft,Ubisoft San Francisco,9.0,0.43,0.31,,0.08,0.04,2016-10-04,2016.0
Trials Fusion,PS4,Misc,Ubisoft,Unknown,,0.43,0.13,0.01,0.23,0.07,2014-04-16,2014.0
Asura's Wrath,PS3,Action,Capcom,CyberConnect2,,0.43,0.2,0.06,0.12,0.05,2012-02-21,2012.0
Barbie: Groom and Glam Pups,DS,Action,THQ,THQ,,0.43,0.25,,0.14,0.04,2010-11-16,2010.0
Just Dance 2017,WiiU,Music,Ubisoft,Ubisoft Paris,,0.43,0.19,,0.21,0.04,2016-10-25,2016.0
Skylanders Imaginators,PS4,Platform,Activision,Toys for Bob,,0.43,0.18,,0.18,0.07,2016-10-16,2016.0
Atelier Totori: The Adventurer of Arland,PS3,Role-Playing,NIS America,Gust,7.8,0.43,0.12,0.21,0.07,0.03,2011-09-27,2011.0
Alpha Protocol,PS3,Role-Playing,Sega,Obsidian Entertainment,,0.43,0.19,,0.17,0.07,2010-06-01,2010.0
Sin and Punishment: Star Successor,Wii,Shooter,Nintendo,"Treasure Co., Ltd.",8.4,0.43,0.19,0.06,0.14,0.03,2010-06-27,2010.0
Doom (2016),NS,Shooter,Bethesda Softworks,id Software,8.2,0.43,0.24,0.01,0.15,0.04,2017-11-10,2017.0
Destiny: The Taken King,PS3,Shooter,Activision,Bungie,,0.43,0.21,0.03,0.12,0.07,2015-09-15,2015.0
OkamiDen,DS,Adventure,Capcom,Capcom,8.3,0.43,0.21,0.13,0.07,0.02,2011-03-15,2011.0
Sniper Elite III,XOne,Shooter,505 Games,Rebellion Developments,,0.43,0.27,,0.12,0.04,2014-07-01,2014.0
MLB 14 The Show,PS3,Sports,Sony Computer Entertainment America,SCE San Diego Studio,8.2,0.43,0.35,,,0.08,2014-04-01,2014.0
Hello Neighbor,XOne,Action,Gearbox Software,Dynamic Pixels,,0.42,0.27,,0.11,0.04,2017-12-08,2017.0
NHL Slapshot,Wii,Sports,EA Sports,EA Canada,7.6,0.42,0.39,,,0.03,2010-09-07,2010.0
Dragon Quest X,WiiU,MMO,Square Enix,Square Enix,,0.42,,0.42,,,2013-03-30,2013.0
NBA 2K11,PSP,Sports,2K Sports,Visual Concepts,,0.42,0.39,,,0.03,2010-10-05,2010.0
2010 FIFA World Cup South Africa,Wii,Sports,EA Sports,EA Canada,6.8,0.42,0.23,0.01,0.15,0.04,2010-04-27,2010.0
Call of Duty: Black Ops II,WiiU,Shooter,Activision,Treyarch,8.6,0.42,0.2,,0.18,0.04,2012-11-18,2012.0
Call of Duty: Advanced Warfare,PC,Shooter,Activision,Sledgehammer Games,8.6,0.42,0.17,,0.22,0.03,2014-11-04,2014.0
Farming Simulator 2015,PS3,Simulation,Focus Home Interactive,Giants Software,,0.42,0.13,,0.22,0.07,2015-05-19,2015.0
FIFA 14,Wii,Sports,EA Sports,EA Canada,,0.42,,,0.4,0.02,2013-09-24,2013.0
Spec Ops: The Line,X360,Shooter,2K Games,Yager Development,,0.42,0.21,,0.18,0.04,2012-06-26,2012.0
NHL 15,XOne,Sports,EA Sports,EA Canada,,0.42,0.32,,0.06,0.04,2014-09-09,2014.0
Just Dance: Summer Party,Wii,Misc,Ubisoft,Ubisoft Paris,,0.42,0.4,,,0.03,2011-07-19,2011.0
Mirror's Edge Catalyst,PS4,Platform,Electronic Arts,EA DICE,,0.42,0.13,0.03,0.19,0.06,2016-06-07,2016.0
Ragnarok Odyssey,PSV,Role-Playing,Xseed Games,Game Arts,,0.42,0.2,0.16,0.01,0.05,2012-10-30,2012.0
Fossil Fighters: Frontier,3DS,Role-Playing,Nintendo,Spike Chunsoft,,0.42,0.13,0.23,0.04,0.02,2015-03-20,2015.0
Vanquish,X360,Shooter,Sega,PlatinumGames,8.3,0.42,0.19,0.03,0.16,0.04,2010-10-19,2010.0
Dishonored: Definitive Edition,PS4,Action,Bethesda Softworks,Arkane Studios,,0.42,0.12,0.02,0.21,0.06,2015-08-25,2015.0
Dai-2-Ji Super Robot Taisen Z: Hakai-hen,PSP,Strategy,Banpresto,Banpresto,,0.42,,0.42,,,2011-04-14,2011.0
Saints Row IV: Re-Elected,PS4,Action,Deep Silver,Volition Inc.,,0.42,0.15,0.03,0.18,0.06,2015-01-20,2015.0
Metal Gear Solid: The Legacy Collection,PS3,Misc,Konami Digital Entertainment,Konami,,0.42,0.31,0.03,0.01,0.07,2013-07-09,2013.0
F1 2014,PS3,Racing,Codemasters,Codemasters Birmingham,,0.42,0.07,0.02,0.27,0.06,2014-10-21,2014.0
TRON: Evolution,PS3,Action,Disney Interactive Studios,Propaganda Games,,0.42,0.27,,0.1,0.05,2010-12-07,2010.0
How to Train Your Dragon,Wii,Action,Activision,Etranges Libellules,6.6,0.42,0.23,,0.15,0.04,2010-03-23,2010.0
Madden NFL Football,3DS,Sports,EA Sports,EA Tiburon,4.5,0.41,0.37,,0.01,0.03,2011-03-22,2011.0
The Smurfs,DS,Adventure,Ubisoft,Ubisoft,,0.41,0.23,,0.14,0.04,2011-07-19,2011.0
Destiny: The Collection,XOne,Shooter,Activision,Bungie,,0.41,0.25,,0.12,0.04,2016-09-19,2016.0
Farming Simulator 2015,PS4,Simulation,Focus Home Interactive,Giants Software,,0.41,0.13,,0.22,0.07,2015-05-19,2015.0
Top Spin 4,X360,Sports,2K Sports,2K Czech,8.2,0.41,0.15,,0.22,0.04,2011-03-15,2011.0
NBA Jam,Wii,Sports,EA Sports,EA Canada,8.0,0.41,0.36,,0.02,0.02,2010-10-05,2010.0
WWE All Stars,PS3,Fighting,THQ,THQ,7.6,0.41,0.16,,0.18,0.07,2011-03-29,2011.0
Harvest Moon: Grand Bazaar,DS,Simulation,Natsume,Marvelous Interactive,,0.41,0.21,0.13,0.05,0.02,2010-08-24,2010.0
MLB 10: The Show,PS2,Sports,Sony Computer Entertainment,SCEA San Diego Studios,,0.41,0.2,,0.16,0.05,2010-03-02,2010.0
Green Day: Rock Band,X360,Misc,MTV Games,Harmonix Music Systems,7.8,0.41,0.24,,0.13,0.04,2010-06-08,2010.0
Just Dance Kids 2,X360,Misc,Ubisoft,Ubisoft,,0.41,0.29,,0.08,0.03,2011-10-25,2011.0
Mass Effect Trilogy,X360,Action,Electronic Arts,BioWare,,0.41,0.28,,0.09,0.04,2012-11-06,2012.0
Harry Potter and the Deathly Hallows - Part 1,DS,Action,Electronic Arts,EA Bright Light,,0.41,0.19,,0.18,0.04,2010-11-09,2010.0
Sword Art Online: Hollow Realization,PS4,Role-Playing,Namco Bandai Games,Aquria,,0.41,0.18,0.12,0.06,0.05,2016-11-08,2016.0
Rune Factory 3: A Fantasy Harvest Moon,DS,Role-Playing,Natsume,Neverland Company,8.0,0.41,0.26,0.1,0.03,0.02,2010-11-09,2010.0
Naughty Bear,X360,Action,505 Games,Artificial Mind and Movement,4.4,0.41,0.21,,0.15,0.04,2010-06-29,2010.0
Tom Clancy's HAWX 2,PS3,Action,Ubisoft,Ubisoft Bucharest,,0.41,0.21,0.03,0.12,0.05,2010-09-07,2010.0
Sword Art Online: Lost Song,PSV,Role-Playing,Namco Bandai Games,Namco Bandai Games,,0.41,0.08,0.24,0.04,0.04,2015-11-17,2015.0
Project CARS,XOne,Racing,Bandai Namco Games,Slightly Mad Studios,,0.41,0.21,,0.16,0.04,2015-05-12,2015.0
Nintendo Labo: Toy-Con 03 Vehicle Kit,NS,Racing,Nintendo,Nintendo EPD,7.0,0.41,0.16,0.06,0.15,0.03,2018-09-14,2018.0
BlazBlue: Continuum Shift,PS3,Fighting,Aksys Games,Arc System Works,8.7,0.41,0.21,0.09,0.08,0.04,2010-07-27,2010.0
Just Dance 2015,PS4,Music,Ubisoft,Ubisoft Paris,,0.41,0.21,,0.13,0.07,2014-10-21,2014.0
Theatrhythm Final Fantasy: Curtain Call,3DS,Music,Square Enix,Square Enix,,0.41,0.16,0.15,0.08,0.02,2014-09-16,2014.0
NBA 2K11,PS2,Sports,2K Sports,Visual Concepts,,0.41,0.34,,0.01,0.06,2010-10-05,2010.0
Green Day: Rock Band,PS3,Misc,MTV Games,Harmonix Music Systems,7.8,0.41,0.19,,0.15,0.07,2010-06-08,2010.0
Pro Evolution Soccer 2011,PS2,Sports,Konami,Konami,,0.41,0.04,0.05,0.21,0.11,2010-11-02,2010.0
Football Manager Handheld 2011,PSP,Sports,Sega,Sports Interactive,,0.41,,,0.28,0.14,2010-11-26,2010.0
SpongeBob SquigglePants,Wii,Misc,THQ,WayForward Technologies,5.4,0.41,0.35,,0.03,0.03,2011-04-12,2011.0
LEGO Harry Potter: Years 5-7,3DS,Action-Adventure,Warner Bros. Interactive,TT Fusion,,0.41,0.18,,0.19,0.03,2011-11-11,2011.0
LEGO The Lord of the Rings,3DS,Action-Adventure,Warner Bros. Interactive Entertainment,TT Fusion,,0.41,0.21,,0.17,0.03,2012-10-30,2012.0
Fantastic Pets,X360,Simulation,THQ,Blitz Game Studios,,0.41,0.3,,0.08,0.04,2011-04-12,2011.0
Sid Meier's Civilization: Beyond Earth,PC,Simulation,2K Games,Firaxis Games,,0.4,0.14,,0.23,0.03,2014-10-24,2014.0
Farming Simulator 2015,X360,Simulation,Focus Home Interactive,Giants Software,,0.4,0.24,,0.12,0.04,2015-05-19,2015.0
Armored Core V,PS3,Simulation,Namco Bandai,From Software,,0.4,0.09,0.24,0.04,0.02,2012-03-20,2012.0
Skylanders: SuperChargers,XOne,Action-Adventure,Activision,Vicarious Visions,,0.4,0.31,,0.05,0.04,2015-09-20,2015.0
Transformers: Fall of Cybertron,PS3,Action,Activision,High Moon Studios,,0.4,0.19,,0.15,0.06,2012-08-21,2012.0
No More Heroes 2: Desperate Struggle,Wii,Action,Ubisoft,Grasshopper Manufacture,8.5,0.4,0.2,0.04,0.11,0.03,2010-01-26,2010.0
WipeOut 3 The Game,Wii,Party,Activision,Behaviour Interactive,,0.4,0.36,,,0.04,2012-09-25,2012.0
Rapala Pro Bass Fishing 2010,X360,Sports,Activision,FUN Labs,,0.4,0.32,,0.05,0.03,2010-09-28,2010.0
The Lego Ninjago Movie Videogame,NS,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,,0.4,0.21,,0.15,0.03,2017-09-22,2017.0
Rocket League,NS,Sports,505 Games,Psyonix Studios,9.2,0.4,0.21,,0.16,0.03,2018-01-16,2018.0
Momotaro Dentetsu 2017: Tachiagare Nippon!!,3DS,Party,Nintendo,Valhalla Game Studios,,0.4,,0.4,,,2016-12-22,2016.0
The Darkness II,X360,Shooter,2K Games,Digital Extremes,,0.4,0.25,,0.11,0.03,2012-02-07,2012.0
Destiny: The Taken King,X360,Shooter,Activision,Bungie,,0.4,0.28,,0.08,0.04,2015-09-15,2015.0
Moshi Monsters: Moshlings Theme Park,DS,Simulation,Activision,"Black Lantern Studios, Inc.",,0.4,0.03,,0.35,0.03,2012-10-30,2012.0
MLB 15: The Show,PS3,Sports,Sony Computer Entertainment America,SCE San Diego Studio,,0.4,0.32,,0.01,0.08,2015-03-31,2015.0
The Gunstringer,X360,Shooter,Microsoft Studios,Twisted Pixel Games,7.6,0.4,0.26,,0.1,0.04,2011-09-13,2011.0
NBA Jam,PS3,Sports,EA Sports,EA Tiburon,,0.4,0.22,,0.12,0.06,2010-11-16,2010.0
Monopoly Streets,PS3,Misc,Electronic Arts,Electronic Arts,,0.39,0.16,,0.17,0.06,2010-10-26,2010.0
Disney Princess: Enchanting Storybooks,Wii,Misc,THQ,THQ,,0.39,0.25,,0.1,0.03,2011-11-01,2011.0
Dragon's Crown,PSV,Role-Playing,Atlus,Vanillaware,,0.39,0.14,0.12,0.06,0.07,2013-08-06,2013.0
Dungeon Siege III,PS3,Role-Playing,Square Enix,Obsidian Entertainment,7.3,0.39,0.17,0.03,0.13,0.06,2011-06-21,2011.0
Alpha Protocol,X360,Role-Playing,Sega,Obsidian Entertainment,6.8,0.39,0.23,,0.13,0.04,2010-06-01,2010.0
Taiko no Tatsujin Wii: Ketteiban,Wii,Misc,Namco Bandai,Bandai Namco Games,,0.39,,0.39,,,2011-11-23,2011.0
Just Dance 2018,Wii,Music,Ubisoft,Ubisoft Paris,,0.39,0.14,,0.22,0.03,2017-10-24,2017.0
Mass Effect 2,PC,Role-Playing,Electronic Arts,BioWare Corp.,9.6,0.39,0.01,,0.32,0.05,2010-01-26,2010.0
Iron Man 2,PS3,Action,Sega,"Sega Studios, San Francisco",,0.39,0.14,,0.19,0.07,2010-05-04,2010.0
LEGO Marvel's Avengers,X360,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,,0.39,0.19,,0.17,0.03,2016-01-26,2016.0
Super Monkey Ball: Step & Roll,Wii,Action,Sega,Sega,6.0,0.39,0.15,,0.19,0.04,2010-02-09,2010.0
The Evil Within 2,XOne,Action,Bethesda Softworks,Tango Gameworks,,0.39,0.25,,0.1,0.04,2017-10-13,2017.0
Tiger Woods PGA Tour 14,PS3,Sports,EA Sports,EA Tiburon,,0.39,0.16,,0.16,0.06,2013-03-26,2013.0
EA Sports Active 2,X360,Sports,Electronic Arts,EA Vancouver,6.3,0.39,0.18,,0.16,0.04,2010-11-16,2010.0
NBA Jam,X360,Sports,EA Sports,EA Tiburon,,0.39,0.27,,0.09,0.03,2010-11-16,2010.0
FIFA Soccer 12,3DS,Sports,EA Sports,EA Canada,7.0,0.39,0.08,,0.27,0.04,2011-09-27,2011.0
Danball Senki,PSP,Role-Playing,Level 5,Level 5,,0.39,,0.39,,,2011-06-16,2011.0
LEGO Star Wars III: The Clone Wars,PSP,Action,LucasArts,Traveller's Tales,6.3,0.39,0.14,,0.16,0.08,2011-03-22,2011.0
Deus Ex: Mankind Divided,XOne,Role-Playing,Square Enix,Eidos Montreal,,0.39,0.25,,0.11,0.04,2016-08-23,2016.0
Madden NFL 11,PSP,Sports,EA Sports,EA Tiburon,,0.39,0.36,,,0.03,2010-08-10,2010.0
NHL 18,XOne,Sports,EA Sports,EA Canada,,0.39,0.32,,0.03,0.04,2017-09-15,2017.0
Fishing Resort,Wii,Sports,Xseed Games,Bandai Namco Games,,0.39,0.14,0.25,,0.01,2011-11-22,2011.0
Farming Simulator 2013,X360,Simulation,Focus Home Interactive,Giants Software,3.0,0.39,0.22,0.0,0.13,0.03,2013-11-19,2013.0
Just Dance 2014,PS3,Music,Ubisoft,Ubisoft Paris,7.8,0.39,0.17,,0.15,0.07,2013-10-08,2013.0
Red Faction: Armageddon,X360,Shooter,THQ,Volition Inc.,7.1,0.39,0.18,0.01,0.16,0.04,2011-06-07,2011.0
Little Nightmares,PS4,Platform,Namco Bandai Games,Tarsier Studios,,0.39,0.18,0.02,0.12,0.06,2017-04-28,2017.0
Batman: Arkham VR,PS4,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,,0.39,0.32,,,0.07,2016-10-11,2016.0
Harry Potter and the Deathly Hallows - Part 1,PS3,Action,Electronic Arts,EA Bright Light,,0.39,0.13,,0.2,0.07,2010-11-09,2010.0
Metal Gear Solid: Snake Eater 3D,3DS,Action-Adventure,Konami Digital Entertainment,Konami Computer Entertainment Japan,7.9,0.39,0.15,0.1,0.12,0.02,2012-02-21,2012.0
One Piece Unlimited World: Red,3DS,Action-Adventure,Namco Bandai Games,Ganbarion,,0.39,0.05,0.28,0.05,0.01,2014-07-08,2014.0
Just Dance 2016,PS4,Music,Ubisoft,Ubisoft Paris,,0.39,0.19,,0.13,0.07,2015-10-20,2015.0
Skylanders Giants,WiiU,Misc,Activision,Unknown,,0.39,0.23,,0.13,0.04,2012-11-18,2012.0
Zone of the Enders HD Collection,PS3,Action,Konami Digital Entertainment,Kojima Productions,,0.39,0.21,0.09,0.04,0.05,2012-10-30,2012.0
Combat of Giants: Dinosaurs 3D,3DS,Strategy,Ubisoft,Ubisoft,4.3,0.39,0.25,0.05,0.07,0.03,2011-03-22,2011.0
Get Fit with Mel B,PS3,Sports,Deep Silver,Lightning Fish,,0.39,0.15,,0.16,0.07,2010-10-20,2010.0
GRID 2,PS3,Misc,Codemasters,Unknown,,0.38,0.07,0.01,0.25,0.06,2013-05-28,2013.0
Scribblenauts: Unlimited,WiiU,Puzzle,Warner Bros. Interactive Entertainment,5TH Cell,7.0,0.38,0.25,,0.1,0.04,2012-11-18,2012.0
Wolfenstein: The New Order,X360,Shooter,Bethesda Softworks,MachineGames,,0.38,0.18,,0.17,0.03,2014-05-20,2014.0
Doom (2016),PC,Shooter,Bethesda Softworks,id Software,,0.38,0.11,,0.24,0.03,2016-05-13,2016.0
Sesame Street: Elmo's A-to-Zoo Adventure,Wii,Misc,Warner Bros. Interactive,Black Lantern Studios,,0.38,0.35,,,0.03,2010-10-20,2010.0
Persona 4: Dancing All Night,PSV,Music,Atlus,Dingo Inc.,,0.38,0.12,0.16,0.04,0.05,2015-09-29,2015.0
Just Dance 2016,XOne,Music,Ubisoft,Ubisoft Paris,,0.38,0.3,,0.04,0.04,2015-10-20,2015.0
Phoenix Wright: Ace Attorney - Dual Destinies,3DS,Misc,Unknown,Capcom,8.1,0.38,,0.38,,,2014-01-01,2014.0
Tropico 5,PS4,Simulation,Kalypso Media,Haemimont Games,,0.38,0.07,0.08,0.18,0.05,2015-04-28,2015.0
Just Dance 4,WiiU,Music,Ubisoft,Ubisoft,,0.38,0.21,,0.14,0.03,2012-11-18,2012.0
FIFA 13,PSP,Sports,EA Sports,EA Canada,,0.38,0.06,0.02,0.22,0.08,2012-09-25,2012.0
NCAA Football 11,PS2,Sports,EA Sports,EA Tiburon,6.4,0.38,0.19,,0.15,0.05,2010-07-13,2010.0
Guitar Hero Live,PS3,Music,Activision,FreeStyleGames,,0.38,0.16,,0.16,0.06,2015-10-20,2015.0
Hatsune Miku: Project Mirai DX,3DS,Misc,Sega,Sega,7.5,0.38,0.2,0.11,0.04,0.03,2015-09-08,2015.0
MLB 16: The Show,PS3,Sports,Sony Computer Entertainment America,SCE San Diego Studio,,0.38,0.3,,,0.07,2016-03-29,2016.0
Rayman Legends,XOne,Platform,Ubisoft,Ubisoft Montpellier,,0.38,0.13,,0.22,0.03,2014-02-18,2014.0
FIFA 14,PC,Sports,EA Sports,EA Canada,,0.38,0.01,,0.35,0.02,2013-09-24,2013.0
Pro Evolution Soccer 2011 3D,3DS,Sports,Konami,Konami,7.5,0.38,0.11,0.11,0.13,0.02,2011-03-25,2011.0
Lego Marvel Super Heroes: Universe in Peril,DS,Action,Warner Bros. Interactive Entertainment,TT Fusion,,0.38,0.22,,0.13,0.03,2013-10-22,2013.0
Saints Row: The Third,PC,Action,THQ,Volition Inc.,8.3,0.38,0.16,,0.16,0.05,2011-11-15,2011.0
Iron Man 2,PSP,Action,Sega,"Sega Studios, San Francisco",,0.38,0.18,,0.13,0.08,2010-05-04,2010.0
Scooby-Doo! and the Spooky Swamp,DS,Action,Warner Bros. Interactive,Torus Games,,0.38,0.25,,0.1,0.03,2010-09-14,2010.0
Ghost Trick: Phantom Detective,DS,Adventure,Capcom,Capcom,8.2,0.38,0.17,0.12,0.08,0.02,2011-01-11,2011.0
FIFA 13,PC,Sports,EA Sports,EA Canada,,0.38,0.02,,0.32,0.04,2012-09-25,2012.0
Monster Jam: Path of Destruction,DS,Racing,Activision,Virtuos,,0.38,0.34,,0.0,0.03,2010-11-09,2010.0
Raving Rabbids: Travel in Time 3D,3DS,Platform,Ubisoft,Ubisoft Paris,5.8,0.38,0.11,,0.24,0.04,2011-04-10,2011.0
Metal Gear Solid HD Collection,X360,Action,Konami,Bluepoint Games,9.2,0.38,0.25,,0.1,0.03,2011-11-08,2011.0
Wii Sports Club,WiiU,Sports,Nintendo,Nintendo,6.7,0.38,0.17,0.04,0.14,0.03,2014-07-25,2014.0
Wipeout 2048,PSV,Racing,Sony Computer Entertainment,Studio Liverpool,,0.38,0.13,,0.19,0.06,2012-02-15,2012.0
Naruto Shippuden: Ultimate Ninja Heroes 3,PSP,Fighting,Namco Bandai,CyberConnect2,,0.38,0.13,0.19,0.04,0.03,2010-05-11,2010.0
WWE SmackDown vs. Raw 2011,PS2,Fighting,THQ,JAKKS Pacific,,0.38,0.24,,0.07,0.07,2010-10-26,2010.0
Tales of Hearts R,PSV,Role-Playing,Namco Bandai Games,7thChord,,0.38,0.11,0.09,0.12,0.07,2014-11-11,2014.0
Firewall: Zero Hour,PS4,Shooter,Sony Interactive Entertainment,First Contact Entertainment Inc.,,0.37,0.14,0.02,0.16,0.06,2018-08-29,2018.0
ZhuZhu Pets: Featuring The Wild Bunch,Wii,Simulation,Activision,Black Lantern Studios,,0.37,0.31,,0.03,0.03,2010-10-19,2010.0
EA Sports MMA,PS3,Fighting,EA Sports,EA Tiburon,7.6,0.37,0.16,0.01,0.14,0.06,2010-10-19,2010.0
Thief,PS3,Action,Square Enix,Eidos Montreal,,0.37,0.1,0.03,0.19,0.06,2014-02-25,2014.0
Burnout Paradise Remastered,PS4,Racing,Electronic Arts,Stellar Entertainment,8.0,0.37,0.08,0.01,0.22,0.06,2018-03-16,2018.0
Need for Speed: Hot Pursuit,PC,Racing,Electronic Arts,Criterion Games,8.9,0.37,0.12,,0.2,0.05,2010-11-16,2010.0
Batman: Arkham City Armored Edition,WiiU,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,8.6,0.37,0.16,,0.18,0.03,2012-11-18,2012.0
Minecraft,3DS,Misc,Nintendo,Other Ocean Interactive,6.7,0.37,0.33,,,0.04,2017-11-10,2017.0
Go Vacation,NS,Misc,Nintendo,Bandai Namco Studios,,0.37,0.12,0.01,0.22,0.03,2018-07-27,2018.0
Green Day: Rock Band,Wii,Misc,MTV Games,Harmonix Music Systems,,0.37,0.22,,0.12,0.03,2010-06-08,2010.0
NHL 15,PS3,Sports,EA Sports,EA Canada,,0.37,0.22,,0.09,0.07,2014-09-09,2014.0
WWE 2K17,PS3,Sports,2K Games,Yuke's,,0.37,0.11,,0.19,0.06,2016-10-11,2016.0
LEGO Batman 2: DC Super Heroes,PSV,Action-Adventure,Warner Bros. Interactive Entertainment,TT Fusion,,0.37,0.16,,0.13,0.08,2012-06-26,2012.0
Resident Evil: Origins Collection,PS4,Action-Adventure,Capcom,Capcom,,0.37,0.07,0.07,0.18,0.05,2016-01-19,2016.0
Cabela's Big Game Hunter 2012,Wii,Sports,Activision,Activision,,0.37,0.33,,0.02,0.02,2011-09-27,2011.0
Middle-Earth: Shadow of Mordor,PC,Action,Warner Bros. Interactive Entertainment,Monolith Productions,,0.37,0.14,,0.2,0.03,2014-09-30,2014.0
Sonic Lost World,WiiU,Platform,Sega,Sonic Team,6.0,0.37,0.2,0.01,0.13,0.03,2013-10-29,2013.0
Rise of the Tomb Raider,X360,Adventure,Square Enix,Crystal Dynamics,,0.37,0.21,,0.12,0.03,2015-11-10,2015.0
"999: Nine Hours, Nine Persons, Nine Doors",DS,Adventure,Aksys Games,Spike,7.9,0.37,0.31,0.03,,0.02,2010-11-16,2010.0
Shin Megami Tensei IV: Apocalypse,3DS,Role-Playing,Atlus,Atlus,8.1,0.37,0.15,0.16,0.05,0.02,2016-09-20,2016.0
